date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:25	117186/117186	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:21%20GMT	http://ecaidev.stagingrelease.com/ecai/comparepartner	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/comparepartner.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:28	16393/16393	---M--	200	added ('OK')	image/png	etag:%225d68ca25-4009%22	http://ecaidev.stagingrelease.com/storage/img/company_logo/930ihf_logo.png	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/storage/img/company_logo/930ihf_logo.png	(from http://ecaidev.stagingrelease.com/ecai)
12:23:31	733890/733890	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fde-b32c2%22	http://ecaidev.stagingrelease.com/img/frontend/homebanner_1.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/homebanner_1.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:32	37290/37290	---M--	200	added ('OK')	image/png	etag:%225cd92fde-91aa%22	http://ecaidev.stagingrelease.com/img/frontend/emark_icon.png	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/emark_icon.png	(from http://ecaidev.stagingrelease.com/ecai)
12:23:34	14672/14672	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fde-3950%22	http://ecaidev.stagingrelease.com/img/frontend/team1.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/team1.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:35	17754/17754	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fe0-455a%22	http://ecaidev.stagingrelease.com/img/frontend/team2.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/team2.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:39	113736/113736	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:37%20GMT	http://ecaidev.stagingrelease.com/ecai/site/nisha34d4	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/site/nisha34d4.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:39	16390/16390	---M--	200	added ('OK')	image/jpeg	etag:%225cd92fde-4006%22	http://ecaidev.stagingrelease.com/img/frontend/team3.jpg	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/team3.jpg	(from http://ecaidev.stagingrelease.com/ecai)
12:23:42	122897/122897	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2006:53:41%20GMT	http://ecaidev.stagingrelease.com/ecai/site/nisha6d40	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/ecai/site/nisha6d40.html	(from http://ecaidev.stagingrelease.com/ecai)
12:23:50	334525/334525	---M--	200	added ('OK')	image/png	etag:%225cd92fdc-51abd%22	http://ecaidev.stagingrelease.com/img/frontend/mission.png	C:/My%20Web%20Sites/ProjectEaci/ecaidev.stagingrelease.com/img/frontend/mission.png	(from http://ecaidev.stagingrelease.com/ecai)
